StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
783175,28,20000514,1,2020,Joakim Noah,LAC,C,0,20000028,2020-10-31T22:19:28,5,42.5,51,9,4.2,8.3,51.0,51.0,4.2,8.3,51.0,0.0,0.0,0.0,6.2,8.3,76.5,5.2,11.2,16.3,10.8,22.6,16.9,7.3,1.0,1.0,6.2,9.4,14.3,11.8,62.1,13.1,18.2,1.0,1.8,34.9,15.0,44.6,46.4,44.6,-19.4,0.0,0.0,46.4,False,,Scrambled
709726,4,20000515,1,2020,Jimmy Butler,MIA,SG,58,20000004,2020-10-31T22:19:28,58,2334.0,1998,17,351.9,773.2,46.4,48.4,322.3,651.8,50.5,29.6,121.4,24.9,446.8,535.5,85.1,108.1,285.6,393.7,6.5,15.7,11.2,357.0,105.1,32.6,129.5,82.6,1180.1,1008.8,59.7,27.4,28.7,2.7,1.7,11.6,25.8,2471.7,2454.6,2471.7,263.2,11.2,3.1,2454.6,False,,Scrambled
709505,14,20000516,1,2020,Derrick Rose,DET,PG,15,20000014,2020-10-31T22:19:28,50,1481.2,1323,39,376.4,768.1,50.0,53.1,330.5,618.1,54.6,45.9,149.9,31.2,123.4,141.8,88.8,27.5,95.9,123.4,2.4,8.7,5.5,283.6,40.8,16.3,128.5,50.0,922.1,830.4,56.6,24.8,41.4,1.6,1.1,13.7,32.5,1538.4,1580.7,1538.4,-85.7,4.2,0.0,1580.7,False,,Scrambled
709638,6,20000517,1,2020,Taj Gibson,NY,PF,56,20000006,2020-10-31T22:19:28,62,861.3,1046,8,170.3,291.7,59.6,60.3,166.3,277.4,61.1,4.2,14.3,29.2,41.8,57.1,74.7,113.2,159.1,272.3,11.4,17.1,14.2,53.0,27.5,30.6,47.9,124.4,386.6,316.9,62.2,17.9,7.9,1.3,2.9,13.4,15.2,919.4,900.9,919.4,-266.2,0.0,0.0,900.9,False,,Scrambled
709564,14,20000519,1,2020,Tony Snell,DET,SG,57,20000014,2020-10-31T22:19:28,59,877.9,1674,5,173.4,389.6,45.4,59.1,69.4,130.6,54.2,104.0,259.1,41.0,32.6,32.6,102.0,9.4,104.0,113.2,0.6,7.4,4.0,129.5,32.6,15.3,31.6,103.0,483.5,404.0,61.0,11.3,11.1,1.0,0.8,7.5,11.7,925.9,951.4,925.9,-176.5,0.0,0.0,951.4,False,,Scrambled
709524,13,20000522,1,2020,Doug McDermott,IND,SF,0,20000013,2020-10-31T22:19:28,69,1048.4,1399,16,272.3,557.9,49.8,61.7,141.8,258.1,56.0,130.6,299.9,44.4,49.0,59.2,84.5,26.5,151.0,177.5,2.2,11.9,7.2,79.6,12.2,5.2,42.8,119.3,724.2,584.0,63.2,17.2,8.7,0.4,0.3,7.1,20.1,1065.7,1143.9,1065.7,105.1,0.0,0.0,1143.9,False,,Scrambled
708315,23,20000524,1,2020,E'Twaun Moore,NO,SG,6,20000023,2020-10-31T22:19:28,56,801.9,1039,54,189.7,445.7,43.5,50.9,125.5,275.4,46.5,64.3,170.3,38.5,31.6,45.9,70.3,31.6,102.0,133.6,3.3,10.6,7.1,79.6,32.6,11.2,40.8,81.6,475.3,465.9,52.0,14.6,11.2,1.5,0.9,8.4,20.4,845.8,861.1,845.8,-46.9,0.0,0.0,861.1,False,,Scrambled
710919,3,20000526,1,2020,Chandler Parsons,ATL,SF,0,20000003,2020-10-31T22:19:28,5,34.6,55,13,5.2,18.4,28.4,39.7,1.0,4.2,25.5,4.2,14.3,29.2,0.0,0.0,0.0,1.0,6.2,7.3,2.0,12.3,7.2,3.1,4.2,1.0,3.1,3.1,14.3,18.4,39.7,7.7,7.7,3.6,1.6,14.6,16.5,39.7,38.5,39.7,-40.8,0.0,0.0,38.5,False,,Scrambled
710910,22,20000528,1,2020,Tyson Chandler,HOU,C,5,20000022,2020-10-31T22:19:28,26,145.0,223,12,14.3,18.4,79.4,79.4,14.3,18.4,79.4,0.0,0.0,0.0,6.2,13.3,47.1,25.5,41.8,67.3,12.1,20.2,16.1,6.2,6.2,8.3,8.3,32.6,34.7,24.2,73.7,12.3,3.6,1.3,3.2,25.7,6.3,159.3,152.5,159.3,29.6,0.0,0.0,152.5,False,,Scrambled
708320,27,20000530,1,2020,Rajon Rondo,LAL,PG,3,20000027,2020-10-31T22:19:28,48,882.7,1004,11,139.7,334.6,42.6,49.2,97.9,207.1,48.2,41.8,127.5,33.5,27.5,41.8,67.2,23.5,121.4,144.8,2.7,13.3,8.2,244.8,40.8,2.1,92.8,59.2,348.8,353.0,50.4,15.2,33.6,2.0,0.2,21.2,19.2,925.5,960.3,925.5,45.9,2.1,0.0,960.3,False,,Scrambled
709607,25,20000531,1,2020,J.J. Barea,DAL,PG,6,20000025,2020-10-31T22:19:28,29,438.2,458,42,86.7,211.1,41.9,49.8,54.1,124.4,44.3,32.6,86.7,38.4,20.4,22.4,92.7,10.2,43.9,54.1,2.5,10.1,6.4,114.2,5.2,2.1,38.8,27.5,226.4,221.0,52.3,17.7,37.9,0.6,0.4,15.2,24.8,445.3,476.6,445.3,20.4,0.0,0.0,476.6,False,,Scrambled
709737,5,20000532,1,2020,Al-Farouq Aminu,ORL,PF,2,20000005,2020-10-31T22:19:28,18,253.9,388,3,25.5,87.7,29.7,35.6,16.3,51.0,32.6,9.4,36.7,25.5,19.4,29.6,66.8,24.5,64.3,88.7,6.9,18.8,12.6,21.4,18.4,8.3,17.3,27.5,79.6,100.7,40.2,9.3,7.6,2.4,2.0,15.0,13.5,280.4,273.1,280.4,-35.7,1.0,0.0,273.1,False,,Scrambled
709509,25,20000539,1,2020,Dwight Powell,DAL,PF,37,20000025,2020-10-31T22:19:28,40,829.2,1081,38,148.9,233.6,65.1,67.2,138.7,193.8,73.0,10.2,39.8,26.1,75.5,113.2,68.0,76.5,155.0,231.5,7.8,15.1,11.5,60.2,34.7,22.4,36.7,104.0,383.5,283.4,69.0,18.0,8.0,1.6,1.8,11.7,13.0,886.3,865.7,886.3,198.9,1.0,0.0,865.7,False,,Scrambled
